cross_point,latlong_obj,sat_obj,eng_obj,tag,text,sat_diff,sat_deg,eng_hms,eng_km,RowNum
,,"{""type"":""LineString"", ""coordinates"":[[105.292695,0.155], [105.207467,-2.557008], [104.952117,-5.258314], [104.527655,-7.938255], [103.935754,-10.586256], [103.178751,-13.191867], [102.259634,-15.744803], [101.18203,-18.23499], [99.950192,-20.6526], [98.568981,-22.988092], [97.043848,-25.232249], [95.380812,-27.376214], [93.586437,-29.411526], [91.667803,-31.330152], [89.632484,-33.124521], [87.488511,-34.78755], [85.244346,-36.312678], [82.908846,-37.693884], [80.491227,-38.925718], [80.319571,-39], [50,-39], [50,30], [93.307962,30], [93.586437,29.721526], [95.380812,27.686214], [97.043848,25.542249], [98.568981,23.298092], [99.950192,20.9626], [101.18203,18.54499], [102.259634,16.054803], [103.178751,13.501867], [103.935754,10.896256], [104.527655,8.248255], [104.952117,5.568314], [105.207467,2.867008], [105.292695,0.155]]}",,sat,,4800,42,,,1255
,,"{""type"":""LineString"", ""coordinates"":[[106.192519,0.155], [106.105514,-2.613509], [105.844845,-5.371091], [105.41154,-8.106865], [104.807308,-10.810032], [104.034534,-13.469926], [103.096269,-16.076049], [101.996215,-18.618115], [100.738713,-21.086092], [99.328727,-23.47024], [97.77182,-25.76115], [96.074138,-27.949781], [94.24238,-30.027495], [92.283775,-31.986093], [90.206053,-33.817844], [88.017414,-35.51552], [85.726496,-37.072421], [83.342339,-38.482402], [82.326492,-39], [50,-39], [50,30], [94.539923,30], [96.074138,28.259781], [97.77182,26.07115], [99.328727,23.78024], [100.738713,21.396092], [101.996215,18.928115], [103.096269,16.386049], [104.034534,13.779926], [104.807308,11.120032], [105.41154,8.416865], [105.844845,5.681091], [106.105514,2.923509], [106.192519,0.155]]}",,sat,,4900,41,,,1256
,,"{""type"":""LineString"", ""coordinates"":[[107.092342,0.155], [107.003562,-2.670009], [106.737573,-5.483868], [106.295425,-8.275474], [105.678862,-11.033809], [104.890317,-13.747986], [103.932904,-16.407295], [102.8104,-19.001239], [101.527235,-21.519583], [100.088473,-23.952387], [98.499793,-26.290051], [96.767464,-28.523348], [94.898323,-30.643464], [92.899747,-32.642033], [90.779622,-34.511167], [88.546317,-36.24349], [86.208645,-37.832164], [84.233936,-39], [50,-39], [50,30], [95.738918,30], [96.767464,28.833348], [98.499793,26.600051], [100.088473,24.262387], [101.527235,21.829583], [102.8104,19.311239], [103.932904,16.717295], [104.890317,14.057986], [105.678862,11.343809], [106.295425,8.585474], [106.737573,5.793868], [107.003562,2.980009], [107.092342,0.155]]}",,sat,,5000,40,,,1257
,,"{""type"":""LineString"", ""coordinates"":[[107.992166,0.155], [107.90161,-2.726509], [107.630301,-5.596646], [107.17931,-8.444084], [106.550416,-11.257585], [105.7461,-14.026046], [104.769539,-16.73854], [103.624584,-19.384364], [102.315756,-21.953075], [100.848219,-24.434535], [99.227765,-26.818952], [97.46079,-29.096915], [95.554266,-31.259433], [93.515718,-33.297974], [91.353191,-35.204491], [89.07522,-36.97146], [86.690795,-38.591908], [86.000746,-39], [50,-39], [50,30], [96.937913,30], [97.46079,29.406915], [99.227765,27.128952], [100.848219,24.744535], [102.315756,22.263075], [103.624584,19.694364], [104.769539,17.04854], [105.7461,14.336046], [106.550416,11.567585], [107.17931,8.754084], [107.630301,5.906646], [107.90161,3.036509], [107.992166,0.155]]}",,sat,,5100,39,,,1258
,,"{""type"":""LineString"", ""coordinates"":[[108.891989,0.155], [108.799658,-2.783009], [108.523029,-5.709423], [108.063195,-8.612693], [107.421969,-11.481361], [106.601883,-14.304105], [105.606173,-17.069786], [104.438769,-19.767489], [103.104277,-22.386567], [101.607965,-24.916683], [99.955738,-27.347853], [98.154116,-29.670482], [96.210209,-31.875403], [94.13169,-33.953914], [91.92676,-35.897814], [89.604123,-37.699429], [87.690384,-39], [50,-39], [50,30], [98.136909,30], [98.154116,29.980482], [99.955738,27.657853], [101.607965,25.226683], [103.104277,22.696567], [104.438769,20.077489], [105.606173,17.379786], [106.601883,14.614105], [107.421969,11.791361], [108.063195,8.922693], [108.523029,6.019423], [108.799658,3.093009], [108.891989,0.155]]}",,sat,,5200,38,,,1259
,,"{""type"":""LineString"", ""coordinates"":[[109.791812,0.155], [109.697706,-2.839509], [109.415757,-5.822201], [108.94708,-8.781303], [108.293523,-11.705137], [107.457666,-14.582165], [106.442808,-17.401032], [105.252953,-20.150614], [103.892799,-22.820058], [102.367711,-25.398831], [100.68371,-27.876754], [98.847441,-30.244049], [96.866152,-32.491372], [94.747661,-34.609855], [92.500329,-36.591137], [90.133026,-38.427399], [89.290466,-39], [50,-39], [50,30], [99.277207,30], [100.68371,28.186754], [102.367711,25.708831], [103.892799,23.130058], [105.252953,20.460614], [106.442808,17.711032], [107.457666,14.892165], [108.293523,12.015137], [108.94708,9.091303], [109.415757,6.132201], [109.697706,3.149509], [109.791812,0.155]]}",,sat,,5300,37,,,1260
,,"{""type"":""LineString"", ""coordinates"":[[110.691636,0.155], [110.595754,-2.896009], [110.308486,-5.934978], [109.830965,-8.949912], [109.165077,-11.928913], [108.313449,-14.860225], [107.279443,-17.732278], [106.067138,-20.533739], [104.68132,-23.25355], [103.127457,-25.880978], [101.411683,-28.405655], [99.540767,-30.817615], [97.522095,-33.107341], [95.363633,-35.265796], [93.073899,-37.284461], [90.86223,-39], [50,-39], [50,30], [100.415439,30], [101.411683,28.715655], [103.127457,26.190978], [104.68132,23.56355], [106.067138,20.843739], [107.279443,18.042278], [108.313449,15.170225], [109.165077,12.238913], [109.830965,9.259912], [110.308486,6.244978], [110.595754,3.206009], [110.691636,0.155]]}",,sat,,5400,36,,,1261
,,"{""type"":""LineString"", ""coordinates"":[[111.591459,0.155], [111.493802,-2.95251], [111.201214,-6.047755], [110.71485,-9.118522], [110.036631,-12.15269], [109.169232,-15.138285], [108.116077,-18.063524], [106.881323,-20.916863], [105.469841,-23.687042], [103.887203,-26.363126], [102.139655,-28.934556], [100.234093,-31.391182], [98.178038,-33.723311], [95.979604,-35.921736], [93.647468,-37.977784], [92.32963,-39], [50,-39], [50,30], [101.55367,30], [102.139655,29.244556], [103.887203,26.673126], [105.469841,23.997042], [106.881323,21.226863], [108.116077,18.373524], [109.169232,15.448285], [110.036631,12.46269], [110.71485,9.428522], [111.201214,6.357755], [111.493802,3.26251], [111.591459,0.155]]}",,sat,,5500,35,,,1262
,,,"{""type"":""LineString"", ""coordinates"":[[100.049313,7.372324], [100.044784,7.229379], [100.031213,7.086998], [100.008653,6.945742], [99.977195,6.806171], [99.936963,6.668833], [99.888114,6.534272], [99.830842,6.403019], [99.765373,6.27559], [99.691965,6.152491], [99.610908,6.034205], [99.522522,5.9212], [99.427155,5.813922], [99.325185,5.712794], [99.217012,5.618216], [99.103066,5.530561], [98.983794,5.450174], [98.859668,5.377373], [98.731177,5.312445], [98.59883,5.255646], [98.463147,5.207201], [98.324665,5.167301], [98.18393,5.136103], [98.041497,5.113731], [97.897929,5.100272], [97.753792,5.095779], [97.609655,5.100272], [97.466087,5.113731], [97.323654,5.136103], [97.182919,5.167301], [97.044437,5.207201], [96.908754,5.255646], [96.776406,5.312445], [96.647916,5.377373], [96.52379,5.450174], [96.404518,5.530561], [96.290572,5.618216], [96.182399,5.712794], [96.080429,5.813922], [95.985062,5.9212], [95.896676,6.034205], [95.815619,6.152491], [95.742211,6.27559], [95.676742,6.403019], [95.61947,6.534272], [95.570621,6.668833], [95.530389,6.806171], [95.498931,6.945742], [95.476371,7.086998], [95.4628,7.229379], [95.458271,7.372324], [95.4628,7.51527], [95.476371,7.657651], [95.498931,7.798906], [95.530389,7.938478], [95.570621,8.075815], [95.61947,8.210376], [95.676742,8.34163], [95.742211,8.469058], [95.815619,8.592158], [95.896676,8.710444], [95.985062,8.823449], [96.080429,8.930727], [96.182399,9.031854], [96.290572,9.126432], [96.404518,9.214088], [96.52379,9.294475], [96.647916,9.367276], [96.776406,9.432204], [96.908754,9.489002], [97.044437,9.537447], [97.182919,9.577347], [97.323654,9.608545], [97.466087,9.630918], [97.609655,9.644377], [97.753792,9.648869], [97.897929,9.644377], [98.041497,9.630918], [98.18393,9.608545], [98.324665,9.577347], [98.463147,9.537447], [98.59883,9.489002], [98.731177,9.432204], [98.859668,9.367276], [98.983794,9.294475], [99.103066,9.214088], [99.217012,9.126432], [99.325185,9.031854], [99.427155,8.930727], [99.522522,8.823449], [99.610908,8.710444], [99.691965,8.592158], [99.765373,8.469058], [99.830842,8.34163], [99.888114,8.210376], [99.936963,8.075815], [99.977195,7.938478], [100.008653,7.798906], [100.031213,7.657651], [100.044784,7.51527], [100.049313,7.372324]]}",hour,,,,2014-03-08 02:41:00,253,1263
,,,"{""type"":""LineString"", ""coordinates"":[[105.012358,7.372324], [104.998035,6.920323], [104.955122,6.470105], [104.883789,6.023448], [104.784317,5.582115], [104.657098,5.147847], [104.502636,4.722357], [104.321539,4.307326], [104.114522,3.904391], [103.882402,3.515142], [103.626095,3.141116], [103.346613,2.783789], [103.045059,2.44457], [102.722622,2.124799], [102.380576,1.825738], [102.02027,1.548566], [101.643126,1.294378], [101.250633,1.064177], [100.844339,0.858871], [100.425848,0.679271], [99.996812,0.526086], [99.558924,0.399919], [99.113912,0.301269], [98.663532,0.230526], [98.209561,0.187968], [97.753792,0.173763], [97.298023,0.187968], [96.844052,0.230526], [96.393672,0.301269], [95.94866,0.399919], [95.510772,0.526086], [95.081736,0.679271], [94.663245,0.858871], [94.256951,1.064177], [93.864458,1.294378], [93.487314,1.548566], [93.127008,1.825738], [92.784962,2.124799], [92.462525,2.44457], [92.160971,2.783789], [91.881489,3.141116], [91.625182,3.515142], [91.393062,3.904391], [91.186045,4.307326], [91.004948,4.722357], [90.850486,5.147847], [90.723267,5.582115], [90.623795,6.023448], [90.552462,6.470105], [90.509549,6.920323], [90.495226,7.372324], [90.509549,7.824326], [90.552462,8.274543], [90.623795,8.7212], [90.723267,9.162534], [90.850486,9.596802], [91.004948,10.022291], [91.186045,10.437323], [91.393062,10.840258], [91.625182,11.229506], [91.881489,11.603532], [92.160971,11.96086], [92.462525,12.300079], [92.784962,12.61985], [93.127008,12.918911], [93.487314,13.196083], [93.864458,13.450271], [94.256951,13.680472], [94.663245,13.885777], [95.081736,14.065377], [95.510772,14.218563], [95.94866,14.34473], [96.393672,14.443379], [96.844052,14.514123], [97.298023,14.556681], [97.753792,14.570886], [98.209561,14.556681], [98.663532,14.514123], [99.113912,14.443379], [99.558924,14.34473], [99.996812,14.218563], [100.425848,14.065377], [100.844339,13.885777], [101.250633,13.680472], [101.643126,13.450271], [102.02027,13.196083], [102.380576,12.918911], [102.722622,12.61985], [103.045059,12.300079], [103.346613,11.96086], [103.626095,11.603532], [103.882402,11.229506], [104.114522,10.840258], [104.321539,10.437323], [104.502636,10.022291], [104.657098,9.596802], [104.784317,9.162534], [104.883789,8.7212], [104.955122,8.274543], [104.998035,7.824326], [105.012358,7.372324]]}",hour,,,,2014-03-08 03:22:00,800,1264
